Date,price,ma7,ma30,trend7,prev1,target
2024-08-26,2517.699951171875,2503.585693359375,2438.6033284505206,64.599853515625,2508.39990234375,2516.0
2024-08-27,2516.0,2506.0713936941966,2440.389998372396,17.39990234375,2517.699951171875,2501.0
2024-08-28,2501.0,2505.957101004464,2441.929996744792,-0.800048828125,2516.0,2525.699951171875
2024-08-29,2525.699951171875,2508.014229910714,2444.3933268229166,14.39990234375,2501.0,2493.800048828125
2024-08-30,2493.800048828125,2505.928536551339,2447.6699951171877,-14.599853515625,2525.699951171875,2489.89990234375
2024-09-03,2489.89990234375,2507.4999651227677,2450.9333251953126,11.0,2493.800048828125,2493.39990234375
2024-09-04,2493.39990234375,2505.357107979911,2453.893318684896,-15.0,2489.89990234375,2511.39990234375
2024-09-05,2511.39990234375,2504.457101004464,2457.1633138020834,-6.300048828125,2493.39990234375,2493.5
2024-09-06,2493.5,2501.2428152901784,2461.8833170572916,-22.5,2511.39990234375,2501.800048828125
2024-09-09,2501.800048828125,2501.357107979911,2465.943318684896,0.800048828125,2493.5,2512.300048828125
2024-09-10,2512.300048828125,2499.4428362165177,2470.443318684896,-13.39990234375,2501.800048828125,2512.10009765625
2024-09-11,2512.10009765625,2502.05712890625,2474.013321940104,18.300048828125,2512.300048828125,2551.199951171875
2024-09-12,2551.199951171875,2510.814278738839,2478.169986979167,61.300048828125,2512.10009765625,2581.300048828125
2024-09-13,2581.300048828125,2523.3714425223216,2483.0466552734374,87.900146484375,2551.199951171875,2580.39990234375
2024-09-16,2580.39990234375,2533.228585379464,2488.2033203125,69.0,2581.300048828125,2564.300048828125
2024-09-17,2564.300048828125,2543.3428780691966,2493.623323567708,70.800048828125,2580.39990234375,2570.699951171875
2024-09-18,2570.699951171875,2553.185721261161,2499.676652018229,68.89990234375,2564.300048828125,2588.0
2024-09-19,2588.0,2564.0,2506.2599853515626,75.699951171875,2570.699951171875,2619.89990234375
2024-09-20,2619.89990234375,2579.399972098214,2512.8499837239583,107.7998046875,2588.0,2626.5
2024-09-23,2626.5,2590.1571219308034,2519.32998046875,75.300048828125,2619.89990234375,2651.199951171875
2024-09-24,2651.199951171875,2600.142822265625,2525.6233154296874,69.89990234375,2626.5,2659.199951171875
2024-09-25,2659.199951171875,2611.399972098214,2532.0399820963544,78.800048828125,2651.199951171875,2669.89990234375
2024-09-26,2669.89990234375,2626.485665457589,2539.7233154296873,105.599853515625,2659.199951171875,2644.300048828125
2024-09-27,2644.300048828125,2636.9999651227677,2546.096647135417,73.60009765625,2669.89990234375,2636.10009765625
2024-09-30,2636.10009765625,2643.871407645089,2550.67998046875,48.10009765625,2644.300048828125,2667.300048828125
2024-10-01,2667.300048828125,2650.6428571428573,2556.1966471354167,47.400146484375,2636.10009765625,2647.10009765625
2024-10-02,2647.10009765625,2653.5857282366073,2560.7233154296873,20.60009765625,2667.300048828125,2657.10009765625
2024-10-03,2657.10009765625,2654.4286063058034,2565.6799886067706,5.900146484375,2647.10009765625,2645.800048828125
2024-10-04,2645.800048828125,2652.514334542411,2571.2433268229165,-13.39990234375,2657.10009765625,2644.800048828125
2024-10-07,2644.800048828125,2648.928641183036,2575.789998372396,-25.099853515625,2645.800048828125,2615.0
2024-10-08,2615.0,2644.742919921875,2579.0333333333333,-29.300048828125,2644.800048828125,2606.0
2024-10-09,2606.0,2640.4429059709823,2582.0333333333333,-30.10009765625,2615.0,2620.60009765625
2024-10-10,2620.60009765625,2633.771484375,2586.0200032552084,-46.699951171875,2606.0,2657.60009765625
2024-10-11,2657.60009765625,2635.271484375,2590.4166748046873,10.5,2620.60009765625,2647.800048828125
2024-10-14,2647.800048828125,2633.9429059709823,2595.550008138021,-9.300048828125,2657.60009765625,2661.39990234375
2024-10-15,2661.39990234375,2636.171456473214,2601.2666748046877,15.599853515625,2647.800048828125,2674.0
2024-10-16,2674.0,2640.3428780691966,2607.2866780598956,29.199951171875,2661.39990234375,2691.0
2024-10-17,2691.0,2651.200020926339,2613.2733479817707,76.0,2674.0,2713.699951171875
2024-10-18,2713.699951171875,2666.5857282366073,2620.613346354167,107.699951171875,2691.0,2723.10009765625
2024-10-21,2723.10009765625,2681.228585379464,2627.9900146484374,102.5,2713.699951171875,2744.199951171875
2024-10-22,2744.199951171875,2693.5999930245534,2635.720011393229,86.599853515625,2723.10009765625,2714.39990234375
2024-10-23,2714.39990234375,2703.1142578125,2642.463338216146,66.599853515625,2744.199951171875,2734.89990234375
2024-10-24,2734.89990234375,2713.6142578125,2648.586669921875,73.5,2714.39990234375,2740.89990234375
2024-10-25,2740.89990234375,2723.17138671875,2653.9066650390623,66.89990234375,2734.89990234375,2742.89990234375
2024-10-28,2742.89990234375,2730.5856584821427,2659.3233317057293,51.89990234375,2740.89990234375,2768.39990234375
2024-10-29,2768.39990234375,2738.3999372209823,2666.12666015625,54.699951171875,2742.89990234375,2788.5
2024-10-30,2788.5,2747.7427804129466,2673.3866617838544,65.39990234375,2768.39990234375,2738.300048828125
2024-10-31,2738.300048828125,2746.8999372209823,2678.396663411458,-5.89990234375,2788.5,2738.60009765625
